human_score,model_score,sentence1,sentence2
5.0,0.8822247,Bir uçak kalkıyor.,Bir hava uçağı kalkıyor.
3.8,0.9423521,Bir adam büyük bir flüt çalıyor.,Bir adam flüt çalıyor.
3.8,0.98405147,Bir adam pizzaya rendelenmiş peynir yayıyor.,Bir adam pişmemiş pizzaya rendelenmiş peynir yayıyor.
2.6,0.48281616,Üç adam satranç oynuyor.,İki adam satranç oynuyor.
4.25,0.9715309,Bir adam çello çalıyor.,Oturan bir adam çello çalıyor.
4.25,0.30289498,Bazı adamlar kavga ediyor.,İki adam kavga ediyor.
0.5,0.8383534,Bir adam sigara içiyor.,Bir adam kayıyor.
1.6,0.925825,Adam piyano çalıyor.,Adam gitar çalıyor.
2.2,0.8373364,Bir adam gitar çalıyor ve şarkı söylüyor.,Bir kadın akustik gitar çalıp şarkı söylüyor.
5.0,0.902839,Bir insan tavana kedi fırlatıyor.,Bir kişi tavana bir kedi atar.
4.2,0.87593216,Adam diğer adama sopayla vurdu.,Adam diğer adama sopayla şaplak attı.
4.6,0.86661124,Bir kadın alıp bir bebek kanguru tutuyor.,Bir kadın kucağına bir yavru kanguru alır ve tutar.
3.867,0.953031,Bir adam flüt çalıyor.,Bir adam bambu flüt çalıyor.
4.667,0.93643636,Bir insan bir kağıt parçasını katlıyor.,Birisi bir kağıt parçası katlıyor.
1.6669999999999998,0.8072272,Yolda koşan bir adam var.,Bir panda köpeği yolda koşuyor.
3.75,0.9403399,Bir köpek sırtından pastırma çıkarmaya çalışıyor.,Bir köpek sırtındaki pastırmayı yemeye çalışıyor.
5.0,0.90833914,Kutup ayısı karda kayıyor.,Bir kutup ayısı karda kayıyor.
0.5,0.9284924,Bir kadın yazıyor.,Bir kadın yüzüyor.
3.8,0.9033244,Bir kedi bebeğin yüzüne sürtünerek gidiyor.,Bir kedi bir bebeğe sürtünür.
5.0,0.9293206,Adam ata biniyor.,Bir adam ata biniyor.
3.2,0.89052653,Bir adam tencereye yağ döker.,Bir adam tencereye şarap döker.
